,align_id,align_mm,align_proj,align_text,align_vision,final_alignrec,mm_out,raw_id,raw_text,raw_vision
1.000000,0.907265,0.962023,0.412295,0.526681,0.078641,0.199106,0.059582,0.103725,0.089489
0.907265,1.000000,0.942013,0.421611,0.533631,0.078067,0.200077,0.058797,0.105321,0.090719
0.962023,0.942013,1.000000,0.416668,0.530926,0.078519,0.199845,0.059199,0.104532,0.090058
0.412295,0.421611,0.416668,1.000000,0.284482,0.062742,0.149623,0.050197,0.119895,0.077862
0.526681,0.533631,0.530926,0.284482,1.000000,0.064824,0.160780,0.050084,0.088308,0.102011
0.078641,0.078067,0.078519,0.062742,0.064824,1.000000,0.134167,0.439028,0.043711,0.030428
0.199106,0.200077,0.199845,0.149623,0.160780,0.134167,1.000000,0.081030,0.072640,0.060695
0.059582,0.058797,0.059199,0.050197,0.050084,0.439028,0.081030,1.000000,0.039597,0.026017
0.103725,0.105321,0.104532,0.119895,0.088308,0.043711,0.072640,0.039597,1.000000,0.056530
0.089489,0.090719,0.090058,0.077862,0.102011,0.030428,0.060695,0.026017,0.056530,1.000000
