id_alignrec,degree_alignrec,id_anchor,degree_anchor,id_alignrec_anchor,degree_alignrec_anchor
7439,198,4664,200,9935,200
13095,200,15583,164,8071,76
19366,9,3247,165,8846,200
19365,6,55,93,993,38
10906,96,19390,44,7016,200
8086,200,17739,71,10849,200
13066,200,59,200,6161,119
15594,200,3766,200,7471,200
12778,200,15906,39,6930,200
10385,200,13251,82,6755,52
10372,200,8969,200,8319,189
18232,64,9940,200,13207,47
10749,200,19378,200,18328,200
6221,200,14129,135,55,93
16306,200,4167,200,7248,200
12982,82,12529,200,5103,200
2077,183,13738,200,903,95
16305,200,12533,52,15594,200
18328,200,449,200,1380,178
18873,141,17071,150,5144,59
