id_alignrec,degree_alignrec,id_anchor,degree_anchor,id_alignrec_anchor,degree_alignrec_anchor
7439,198,4664,200,9935,200
13095,200,15583,164,8071,76
19366,9,3247,165,8846,200
19365,6,55,93,993,38
10906,96,19390,44,7016,200
8086,200,17739,71,10849,200
13066,200,59,200,6161,119
15594,200,3766,200,7471,200
12778,200,15906,39,6930,200
10385,200,13251,82,6755,52
10372,200,8969,200,8319,189
18232,64,9940,200,13207,47
10749,200,19378,200,18328,200
6221,200,14129,135,55,93
16306,200,4167,200,7248,200
12982,82,12529,200,5103,200
2077,183,13738,200,903,95
16305,200,12533,52,15594,200
18328,200,449,200,1380,178
18873,141,17071,150,5144,59
865,200,7450,200,10587,168
16087,133,10587,168,15733,200
18334,200,15037,40,13164,200
5415,200,1975,200,7460,200
15962,179,2145,171,16306,200
4693,200,12982,82,16305,200
18724,200,16535,200,780,200
7619,200,997,152,10062,83
17227,50,12233,65,16241,137
2411,200,12999,200,312,200
8426,172,13667,200,14558,132
59,200,14795,200,3945,200
6611,130,11781,200,12000,82
7492,200,5089,173,4115,200
17415,74,11924,200,303,200
15684,165,18599,128,16534,66
7491,187,2559,200,7619,200
259,90,3687,200,16647,140
8722,191,16534,66,11019,200
3508,200,14233,200,19390,44
297,200,5470,200,6731,200
9906,200,16955,156,5415,200
2069,200,3682,200,59,200
692,168,12747,200,13738,200
12940,200,6546,97,14425,122
13826,200,3945,200,7245,190
3794,200,10296,200,3076,200
15263,186,11395,200,15498,155
4606,200,16870,200,15506,83
13007,195,6285,63,8969,200
9378,200,19366,9,18334,200
4841,104,18873,141,15583,164
9725,200,1504,200,18368,74
7450,200,18724,200,18586,200
17827,200,7439,198,11781,200
14425,122,4933,178,4764,200
627,200,19365,6,11924,200
14589,200,1077,139,2069,200
5444,200,9455,189,3755,124
10026,200,8156,200,10296,200
11425,130,18399,200,12533,52
6525,200,104,200,7439,198
252,99,19353,89,13035,200
17970,152,15506,83,14178,86
18656,154,16835,113,9303,117
19118,141,4079,200,2304,200
12461,200,15575,200,12747,200
15037,40,17970,152,19365,6
13331,142,15909,200,10933,124
11854,200,13760,127,12912,200
6660,200,8071,76,19366,9
4256,200,17006,200,10976,200
19353,89,17985,200,104,200
4974,114,4980,103,7450,200
15498,155,796,68,627,200
10755,200,3794,200,5444,200
7566,200,19433,46,13985,200
18850,200,13866,200,12999,200
7285,77,4413,200,15906,39
104,200,14046,200,4817,93
9831,129,3629,200,8832,177
17188,200,16305,200,6808,200
11325,200,16306,200,18599,128
19113,88,7285,77,1844,146
16316,200,16217,111,2837,200
6504,200,2837,200,12698,138
8846,200,5415,200,449,200
10062,83,8138,200,2077,183
13178,200,17069,200,16629,200
13738,200,13849,200,3870,200
12532,200,6858,200,4167,200
5089,173,14369,172,18712,42
17843,81,17511,200,12019,200
15483,78,15263,186,11271,200
3012,169,12000,82,15909,200
12794,200,212,200,19353,89
16629,200,7460,200,1714,200
10053,145,9733,200,5945,200
16756,200,2826,200,18846,200
18024,38,344,89,7285,77
