id_anchor,degree_anchor
4664,200
15583,164
3247,165
55,93
19390,44
17739,71
59,200
3766,200
15906,39
13251,82
8969,200
9940,200
19378,200
14129,135
4167,200
12529,200
13738,200
12533,52
449,200
17071,150
7450,200
10587,168
15037,40
1975,200
2145,171
12982,82
16535,200
997,152
12233,65
12999,200
13667,200
14795,200
11781,200
5089,173
11924,200
18599,128
2559,200
3687,200
16534,66
14233,200
5470,200
16955,156
3682,200
12747,200
6546,97
3945,200
10296,200
11395,200
16870,200
6285,63
19366,9
18873,141
1504,200
18724,200
7439,198
4933,178
19365,6
1077,139
9455,189
8156,200
18399,200
104,200
19353,89
15506,83
16835,113
4079,200
15575,200
17970,152
15909,200
13760,127
8071,76
17006,200
17985,200
4980,103
796,68
3794,200
19433,46
13866,200
4413,200
14046,200
3629,200
16305,200
16306,200
7285,77
16217,111
2837,200
5415,200
8138,200
17069,200
13849,200
6858,200
14369,172
17511,200
15263,186
12000,82
212,200
7460,200
9733,200
2826,200
344,89
161,200
5069,200
3508,200
16992,200
17966,40
627,200
7016,200
5626,200
12698,138
415,144
16629,200
126,75
19113,88
13826,200
11271,200
10749,200
613,200
11766,81
19126,200
10960,200
6161,119
2509,200
1763,200
9303,117
15684,165
5341,200
5072,200
18295,200
10372,200
15594,200
18090,139
8213,44
5788,200
7619,200
1019,117
4115,200
12451,200
17227,50
10849,200
14589,200
182,200
16647,140
14508,115
15257,200
17102,200
18368,74
4921,200
17880,200
288,162
16241,137
18334,200
6660,200
780,200
7171,200
5103,200
18340,200
3357,153
3827,200
312,200
12778,200
10932,200
18850,200
5144,59
17914,200
7808,200
10933,124
8825,200
6525,200
6147,200
12019,200
19178,41
10876,200
3523,200
17580,200
297,200
11977,200
1353,138
1877,200
9725,200
1481,144
4522,200
18328,200
3755,124
1844,146
7635,200
13543,200
5562,200
993,38
18846,200
14558,132
7748,121
7487,64
7135,200
1565,200
17188,200
7422,200
17753,179
17734,109
13124,200
16836,70
