id_alignrec_anchor,degree_alignrec_anchor
9935,200
8071,76
8846,200
993,38
7016,200
10849,200
6161,119
7471,200
6930,200
6755,52
8319,189
13207,47
18328,200
55,93
7248,200
5103,200
903,95
15594,200
1380,178
5144,59
10587,168
15733,200
13164,200
7460,200
16306,200
16305,200
780,200
10062,83
16241,137
312,200
14558,132
3945,200
12000,82
4115,200
303,200
16534,66
7619,200
16647,140
11019,200
19390,44
6731,200
5415,200
59,200
13738,200
14425,122
7245,190
3076,200
15498,155
15506,83
8969,200
18334,200
15583,164
18368,74
18586,200
11781,200
4764,200
11924,200
2069,200
3755,124
10296,200
12533,52
7439,198
13035,200
14178,86
9303,117
2304,200
12747,200
19365,6
10933,124
12912,200
19366,9
10976,200
104,200
7450,200
627,200
5444,200
13985,200
12999,200
15906,39
4817,93
8832,177
6808,200
18599,128
1844,146
2837,200
12698,138
449,200
2077,183
16629,200
3870,200
4167,200
18712,42
12019,200
11271,200
15909,200
19353,89
1714,200
5945,200
18846,200
7285,77
3827,200
17436,200
415,144
12529,200
12233,65
4757,200
1019,117
4921,200
18724,200
13251,82
4079,200
14233,200
5072,200
13826,200
5626,200
3304,200
8213,44
10960,200
15263,186
17227,50
19113,88
17691,200
19162,56
1034,101
6858,200
18399,200
13667,200
18749,64
157,200
5201,86
161,200
6525,200
10372,200
11914,200
7491,187
7808,200
7412,200
1763,200
13543,200
175,146
7422,200
18873,141
17739,71
9676,200
182,200
8138,200
15687,96
5603,200
4933,178
6285,63
17512,118
18508,200
17415,74
2145,171
259,90
13427,155
11766,81
4413,200
4606,200
4974,114
18850,200
14508,115
3523,200
13320,200
9765,200
796,68
13560,118
19178,41
205,200
707,198
3766,200
17724,200
12794,200
3794,200
9733,200
19118,141
3687,200
5470,200
2559,200
17880,200
17071,150
17985,200
14525,78
19209,200
6546,97
297,200
10411,78
6953,200
288,162
12778,200
10749,200
8156,200
15037,40
17069,200
1565,200
4504,200
16506,200
12126,200
13987,200
4522,200
17190,138
15696,115
1975,200
5176,157
5719,200
8426,172
19433,46
16437,200
18657,175
10876,200
12461,200
14394,171
12463,200
12385,148
18768,139
16836,70
17134,104
5148,86
12451,200
19319,187
17914,200
3400,197
8910,200
19305,52
6660,200
10968,200
11776,200
8929,200
1738,85
5599,200
9678,200
8818,122
252,99
6173,200
8825,200
253,180
16217,111
224,126
16133,200
13900,7
9004,200
17580,200
10115,52
1065,94
212,200
18803,45
10124,83
13574,114
17102,200
18567,30
7663,79
250,93
2573,200
17853,112
9545,200
5096,200
5089,173
11567,200
12116,88
19378,200
10932,200
200,200
6703,144
997,152
19363,200
11931,200
9523,134
865,200
13146,200
4679,192
16756,200
18468,78
12806,200
9282,200
12320,83
17614,141
1522,200
9944,200
4352,200
17028,200
4739,200
651,200
1432,139
12532,200
16317,200
5462,200
17021,200
19218,101
7757,30
16859,163
18270,200
5624,200
17511,200
9895,200
1353,138
5833,193
8398,200
10590,63
6816,95
284,200
4417,200
15335,110
16943,127
13381,200
4664,200
17639,149
7433,200
8719,105
2826,200
14589,200
7015,200
2916,112
14200,139
10026,200
3936,118
13414,200
13849,200
9359,200
940,81
13827,200
8163,200
8556,200
8868,200
6869,88
3030,200
10568,200
8086,200
7820,200
9766,200
17684,111
14129,135
16981,131
19138,72
8496,200
11376,200
1481,144
16870,200
15190,200
18090,139
7748,121
3629,200
18091,20
12628,200
13309,200
17153,200
7104,200
2657,200
7135,200
2332,200
7573,200
3621,200
7208,200
1100,200
4190,200
3277,200
4395,200
9660,200
8840,200
9856,200
289,200
17831,200
14443,200
1277,200
1833,200
1955,200
2681,200
9057,200
15655,200
12664,200
2785,165
2025,200
859,103
189,85
18074,200
3547,200
17035,200
667,200
2513,56
1045,110
13865,189
6658,200
6259,200
10160,200
5281,200
17970,152
19126,200
152,200
1229,200
7189,200
18146,166
4960,200
12630,200
2011,200
6528,126
7408,118
7635,200
13866,200
4405,200
14092,200
10467,105
19298,16
17734,109
2377,135
5487,200
3918,96
12644,200
15424,80
10138,200
9124,37
138,200
8965,200
17742,153
302,92
11751,200
12002,200
12490,183
5069,200
2691,200
7496,200
18115,161
16835,113
8214,200
1478,200
10534,76
9674,200
10945,200
4980,103
5208,185
637,200
8952,152
10999,200
17645,138
883,200
1294,108
4099,200
2406,148
14823,160
9017,200
2180,68
11165,200
12571,200
14436,24
11625,200
4101,148
11691,197
462,97
1094,200
7255,200
18232,64
12650,200
17728,200
13346,200
613,200
3098,17
12995,200
11932,200
17764,200
603,200
1450,158
1401,200
17006,200
207,199
17313,200
18337,132
12543,200
1092,102
12100,200
7357,181
18340,200
4131,200
2719,200
3856,200
1889,78
9725,200
1381,200
5347,200
4913,200
13078,200
5345,200
11039,106
17073,123
1902,56
965,54
2604,77
5137,183
13760,127
7235,66
2188,200
11174,104
5980,137
16633,177
18310,101
12098,200
7574,27
4172,200
18289,200
584,185
4626,200
1766,200
12906,200
4857,200
13561,200
12586,200
4897,200
2654,200
1539,200
15257,200
1837,200
13421,144
10023,73
17827,200
12596,200
17756,200
15483,78
2053,200
11617,41
16535,200
1593,142
7459,200
17013,200
8493,200
13140,200
7564,200
13475,177
19267,200
19358,33
304,162
15959,200
18092,47
14460,200
7709,200
16580,200
3357,153
19225,88
9022,200
16627,200
2002,200
8162,200
1774,200
13549,200
4858,200
3508,200
5865,200
2792,156
17791,47
3240,200
12604,200
5711,200
3937,200
3923,107
10422,95
15891,200
19228,47
6489,200
1077,139
9831,129
18383,85
18725,200
18793,22
9638,38
5180,200
16666,46
14759,200
1193,200
18951,70
1089,167
14795,200
554,67
3011,200
17494,31
13007,195
14825,200
12379,172
750,200
18656,154
4589,81
10998,194
9703,200
6884,200
3191,200
16966,16
9181,184
17903,22
938,159
3661,200
9745,78
961,200
6848,178
18553,36
13344,61
8642,200
16902,200
12925,200
15662,200
13838,186
2485,200
7948,188
4896,200
9455,189
3864,200
17543,200
7699,200
599,200
96,200
914,200
3533,200
6208,200
11020,200
18948,200
5777,200
8552,200
8751,200
11791,200
15130,200
16372,200
5371,200
8618,200
3501,200
16768,200
13634,200
1840,200
2181,80
1910,120
10872,200
12546,143
14157,200
8346,200
14419,200
7454,200
18649,200
15153,200
18670,164
12891,200
5358,200
4357,200
17451,138
9183,200
5658,200
10689,199
5342,164
2523,200
4883,200
2855,200
7773,200
19422,17
17778,200
5112,200
11854,200
7112,159
5645,200
2658,200
15240,200
10671,200
16087,133
3580,153
5178,190
14635,80
18919,200
13115,200
17753,179
12528,200
13299,200
1240,200
420,35
12691,54
3202,200
4499,125
4102,200
5952,200
191,157
12260,104
283,200
5827,200
1675,199
18813,200
18515,200
18024,38
760,200
3782,76
17398,140
9768,200
17188,200
15311,200
2504,200
17040,200
13534,200
344,89
14986,42
4250,200
17740,98
15684,165
7942,200
17314,41
9721,200
11881,114
11661,155
9686,200
12094,200
19020,194
14193,200
14872,157
5562,200
10787,200
17119,53
3012,169
12462,64
11360,200
7524,200
11050,61
15045,134
15043,188
17064,86
7830,200
18780,134
1156,194
18077,57
10171,200
2692,200
18892,161
16044,41
15599,200
19019,200
7667,126
10520,200
16090,82
1525,200
14729,73
3925,41
5857,200
16900,200
15573,200
10494,86
3318,68
12069,162
16107,96
18429,200
8490,137
4693,200
8687,200
9826,200
19025,145
16536,43
16316,200
4256,200
9875,200
1605,200
5854,178
11763,200
7451,200
13426,200
11021,101
15559,200
7401,200
9012,200
7010,200
16287,200
4996,200
14145,153
6302,200
13800,169
12576,60
19055,44
1289,168
16992,200
17725,200
4106,200
126,75
3104,35
17862,200
17406,110
12471,98
2397,200
17996,160
17203,200
12738,200
1911,127
3111,200
2162,200
6110,200
1916,90
14019,200
6604,178
2715,200
16492,200
8919,145
13330,200
1699,200
17733,76
1083,101
15388,96
15416,200
13148,200
186,150
17568,125
214,200
11915,200
1895,154
18678,26
2671,200
4026,80
4593,48
14858,200
16451,200
986,200
12940,200
2617,50
888,200
19376,176
2683,200
13331,142
13124,200
7377,200
6771,200
2814,200
2297,200
2664,200
12848,199
4209,110
7289,177
15748,200
18093,46
12078,90
7526,200
18080,49
5366,200
5497,200
7403,200
12393,200
5116,200
11502,200
19306,48
2509,200
13110,200
2781,40
12982,82
13347,144
19135,34
7161,200
18579,15
9805,200
565,174
12830,200
9348,197
5893,94
568,200
12627,135
9644,200
10956,200
14549,55
8016,200
1790,200
2283,200
8610,200
14879,76
19264,63
2533,200
740,200
8269,148
10321,184
558,74
19024,200
7144,164
1981,200
3911,114
11589,200
18300,200
15785,200
9428,199
9242,43
13162,133
11977,200
8860,200
13466,200
3079,200
19007,68
5146,200
4911,200
9845,200
1099,200
7598,200
12436,200
7787,200
16458,200
3969,200
17672,115
7440,137
14135,32
19389,75
15917,200
11228,180
7927,161
16425,200
19032,168
13345,200
5341,200
7420,200
7566,200
12590,51
2232,141
16187,200
5689,200
6067,95
19291,194
14901,99
9786,171
16323,200
14332,110
14634,200
19103,18
10755,200
12661,200
11930,200
19397,189
5214,138
11788,94
586,33
9675,110
9770,200
14787,200
3041,200
16434,200
17373,182
5851,200
13317,200
7368,200
298,200
5549,200
19432,28
18922,200
18758,200
7436,200
14046,200
2335,200
13196,200
7485,200
7487,64
15034,129
18811,87
18218,27
4483,200
12964,107
8145,200
18545,200
3017,200
13853,83
13530,180
15085,42
7046,200
15266,200
18064,200
15669,200
2610,31
2176,157
13788,200
13776,114
4843,200
17558,132
4512,144
12962,200
2846,118
15649,200
11301,200
15229,139
13811,150
6394,200
12042,200
13705,154
13174,200
12127,200
17763,200
18171,63
13119,200
11633,200
18161,200
9336,200
1504,200
11418,120
17272,173
9466,200
8997,200
16392,200
7337,200
3950,200
6619,200
2047,200
13720,200
6711,200
11593,200
4232,200
13354,200
2838,200
8667,200
7418,200
5556,200
17626,200
17468,200
18953,200
18947,113
18940,200
19339,126
2097,200
2643,200
9332,134
4922,200
1674,171
10619,200
10147,82
13700,67
15556,22
18001,200
4421,131
8504,133
4839,200
18295,200
14480,200
10270,33
11613,200
13336,159
12711,152
7899,99
5163,101
7317,200
11939,200
841,64
7919,200
13918,200
17212,95
578,200
9190,200
7467,200
6813,200
3247,165
251,176
19194,200
1633,200
715,200
8554,200
15021,200
8625,200
10770,200
10774,200
4094,200
6264,55
7960,200
75,200
16883,200
11934,200
7425,200
18897,14
1198,42
6035,165
18423,176
8659,200
17508,128
15717,27
15270,200
15956,200
8283,200
14223,200
1979,200
4211,42
16552,120
17961,46
14244,200
6300,107
7002,76
13280,200
15327,188
7435,200
14928,78
11846,200
11760,97
17303,200
9397,30
7220,200
6537,200
1275,200
1517,200
9897,200
3211,200
308,200
13655,200
16867,133
5418,134
147,200
6442,200
445,200
1534,196
5881,152
228,200
15393,152
2670,200
1600,45
957,52
11665,200
14562,200
12632,200
17107,120
3352,200
277,200
18610,23
16342,136
16221,200
1115,174
4503,200
3701,179
11566,176
11616,153
6109,200
572,55
13993,200
18623,200
197,140
2687,200
19283,152
11976,200
17679,200
7171,200
5886,200
13565,20
17137,200
11147,85
2648,200
8043,66
18330,200
1795,200
556,151
18311,200
12827,145
10322,200
7556,200
17652,59
18743,77
15170,200
16812,181
11090,179
2319,200
5296,200
7780,71
16657,55
16680,200
16762,75
361,200
17072,41
19022,117
13029,200
2742,37
245,44
19151,73
8535,200
2462,200
5182,200
15902,200
14020,200
11425,130
795,110
3033,148
2770,200
1051,200
16572,144
18122,152
13059,200
17586,38
17966,40
17432,104
1586,200
2696,174
222,200
8147,200
2587,200
11395,200
10399,64
18534,87
15271,200
15833,52
9981,157
8915,200
19242,75
19372,144
13178,200
15484,102
9741,200
14463,200
1469,200
2036,200
14054,200
15767,96
8940,200
17736,98
17444,163
11295,200
13087,200
6141,200
15372,193
12238,70
14174,149
15702,200
1457,200
8585,200
8605,200
19030,200
11009,162
6407,200
9934,200
16985,114
6167,200
17000,199
19065,126
5672,200
3289,120
162,200
16955,156
14127,172
18992,200
179,148
5450,200
9156,200
634,200
3835,158
2166,200
600,200
14148,200
18327,200
19332,34
9269,119
14959,146
7825,200
168,86
12147,112
8789,200
9661,200
9776,200
17231,200
17688,200
12237,200
8823,200
2475,116
7136,81
8541,200
15766,133
1075,199
3375,174
11794,200
3434,200
14593,37
2983,200
12103,200
16663,29
7438,200
3069,200
6190,200
2140,200
618,200
13089,200
858,200
6352,179
13941,200
394,97
14621,83
1825,197
16876,200
2295,200
18665,200
8316,200
8167,200
4544,131
19367,24
5779,200
11698,200
14971,138
12642,200
17770,200
293,181
9223,200
280,200
3074,200
14050,200
10620,200
1788,200
5608,200
3133,152
10479,94
10015,200
12210,200
18172,132
3682,200
18014,41
5661,200
9749,200
18710,200
14447,200
13518,200
2606,151
90,200
2601,200
2699,200
5814,200
6077,200
12790,200
7949,200
213,200
2717,200
238,200
1296,200
4541,105
6840,163
5354,84
16360,90
9360,200
13279,165
16873,65
555,200
16638,200
3256,200
11249,200
2856,200
5823,43
16340,56
5012,200
5496,75
12957,200
14012,200
16368,200
19233,65
13066,200
17987,84
1010,188
13802,200
3964,186
15356,200
5890,107
4074,200
19409,147
9819,64
14644,200
12763,200
400,172
1894,101
17507,200
17982,200
4437,200
12850,161
5863,184
17459,61
276,200
18143,128
17030,200
12048,200
19430,128
8557,91
8449,200
8466,200
10886,200
13257,133
2260,105
5867,118
1692,97
3131,200
19429,92
13232,200
15692,85
5604,187
18896,200
11386,55
3831,200
195,140
296,200
14295,173
7387,200
10435,200
7562,200
11929,200
3611,200
14487,200
14251,200
8678,166
16856,200
2429,49
1627,200
12677,200
359,200
17848,142
