id_alignrec,degree_alignrec,id_anchor,degree_anchor,id_alignrec_anchor,degree_alignrec_anchor
7439,198,4664,200,9935,200
13095,200,15583,164,8071,76
19366,9,3247,165,8846,200
19365,6,55,93,993,38
10906,96,19390,44,7016,200
8086,200,17739,71,10849,200
13066,200,59,200,6161,119
15594,200,3766,200,7471,200
12778,200,15906,39,6930,200
10385,200,13251,82,6755,52
10372,200,8969,200,8319,189
18232,64,9940,200,13207,47
10749,200,19378,200,18328,200
6221,200,14129,135,55,93
16306,200,4167,200,7248,200
12982,82,12529,200,5103,200
2077,183,13738,200,903,95
16305,200,12533,52,15594,200
18328,200,449,200,1380,178
18873,141,17071,150,5144,59
865,200,7450,200,10587,168
16087,133,10587,168,15733,200
18334,200,15037,40,13164,200
5415,200,1975,200,7460,200
15962,179,2145,171,16306,200
4693,200,12982,82,16305,200
18724,200,16535,200,780,200
7619,200,997,152,10062,83
17227,50,12233,65,16241,137
2411,200,12999,200,312,200
8426,172,13667,200,14558,132
59,200,14795,200,3945,200
6611,130,11781,200,12000,82
7492,200,5089,173,4115,200
17415,74,11924,200,303,200
15684,165,18599,128,16534,66
7491,187,2559,200,7619,200
259,90,3687,200,16647,140
8722,191,16534,66,11019,200
3508,200,14233,200,19390,44
297,200,5470,200,6731,200
9906,200,16955,156,5415,200
2069,200,3682,200,59,200
692,168,12747,200,13738,200
12940,200,6546,97,14425,122
13826,200,3945,200,7245,190
3794,200,10296,200,3076,200
15263,186,11395,200,15498,155
4606,200,16870,200,15506,83
13007,195,6285,63,8969,200
9378,200,19366,9,18334,200
4841,104,18873,141,15583,164
9725,200,1504,200,18368,74
7450,200,18724,200,18586,200
17827,200,7439,198,11781,200
14425,122,4933,178,4764,200
627,200,19365,6,11924,200
14589,200,1077,139,2069,200
5444,200,9455,189,3755,124
10026,200,8156,200,10296,200
11425,130,18399,200,12533,52
6525,200,104,200,7439,198
252,99,19353,89,13035,200
17970,152,15506,83,14178,86
18656,154,16835,113,9303,117
19118,141,4079,200,2304,200
12461,200,15575,200,12747,200
15037,40,17970,152,19365,6
13331,142,15909,200,10933,124
11854,200,13760,127,12912,200
6660,200,8071,76,19366,9
4256,200,17006,200,10976,200
19353,89,17985,200,104,200
4974,114,4980,103,7450,200
15498,155,796,68,627,200
10755,200,3794,200,5444,200
7566,200,19433,46,13985,200
18850,200,13866,200,12999,200
7285,77,4413,200,15906,39
104,200,14046,200,4817,93
9831,129,3629,200,8832,177
17188,200,16305,200,6808,200
11325,200,16306,200,18599,128
19113,88,7285,77,1844,146
16316,200,16217,111,2837,200
6504,200,2837,200,12698,138
8846,200,5415,200,449,200
10062,83,8138,200,2077,183
13178,200,17069,200,16629,200
13738,200,13849,200,3870,200
12532,200,6858,200,4167,200
5089,173,14369,172,18712,42
17843,81,17511,200,12019,200
15483,78,15263,186,11271,200
3012,169,12000,82,15909,200
12794,200,212,200,19353,89
16629,200,7460,200,1714,200
10053,145,9733,200,5945,200
16756,200,2826,200,18846,200
18024,38,344,89,7285,77
13330,200,161,200,3827,200
5072,200,5069,200,17436,200
13344,61,3508,200,415,144
10590,63,16992,200,12529,200
15034,129,17966,40,12233,65
13667,200,627,200,4757,200
17725,200,7016,200,1019,117
14127,172,5626,200,4921,200
14823,160,12698,138,18724,200
6930,200,415,144,13251,82
613,200,16629,200,4079,200
1481,144,126,75,14233,200
13849,200,19113,88,5072,200
6811,200,13826,200,13826,200
6122,59,11271,200,5626,200
17102,200,10749,200,3304,200
10587,168,613,200,8213,44
667,200,11766,81,10960,200
18892,161,19126,200,15263,186
18846,200,10960,200,17227,50
5462,200,6161,119,19113,88
883,200,2509,200,17691,200
8167,200,1763,200,19162,56
651,200,9303,117,1034,101
250,93,15684,165,6858,200
10190,200,5341,200,18399,200
13151,200,5072,200,13667,200
6858,200,18295,200,18749,64
175,146,10372,200,157,200
2509,200,15594,200,5201,86
961,200,18090,139,161,200
15506,83,8213,44,6525,200
6161,119,5788,200,10372,200
19025,145,7619,200,11914,200
8919,145,1019,117,7491,187
7460,200,4115,200,7808,200
17914,200,12451,200,7412,200
152,200,17227,50,1763,200
1504,200,10849,200,13543,200
8138,200,14589,200,175,146
4413,200,182,200,7422,200
157,200,16647,140,18873,141
5470,200,14508,115,17739,71
17071,150,15257,200,9676,200
18951,70,17102,200,182,200
161,200,18368,74,8138,200
18163,200,4921,200,15687,96
7808,200,17880,200,5603,200
18953,200,288,162,4933,178
6173,200,16241,137,6285,63
18161,200,18334,200,17512,118
10960,200,6660,200,18508,200
3076,200,780,200,17415,74
19020,194,7171,200,2145,171
8868,200,5103,200,259,90
3945,200,18340,200,13427,155
215,53,3357,153,11766,81
18154,200,3827,200,4413,200
182,200,312,200,4606,200
17436,200,12778,200,4974,114
4052,80,10932,200,18850,200
17985,200,18850,200,14508,115
12630,200,5144,59,3523,200
12529,200,17914,200,13320,200
189,85,7808,200,9765,200
14558,132,10933,124,796,68
191,157,8825,200,13560,118
993,38,6525,200,19178,41
5144,59,6147,200,205,200
16943,127,12019,200,707,198
17511,200,19178,41,3766,200
16647,140,10876,200,17724,200
5096,200,3523,200,12794,200
5626,200,17580,200,3794,200
18146,166,297,200,9733,200
1975,200,11977,200,19118,141
205,200,1353,138,3687,200
207,199,1877,200,5470,200
13140,200,9725,200,2559,200
16187,200,1481,144,17880,200
11915,200,4522,200,17071,150
212,200,18328,200,17985,200
18090,139,3755,124,14525,78
4115,200,1844,146,19209,200
15583,164,7635,200,6546,97
1534,196,13543,200,297,200
3687,200,5562,200,10411,78
4481,200,993,38,6953,200
303,200,18846,200,288,162
302,92,14558,132,12778,200
14795,200,7748,121,10749,200
18768,139,7487,64,8156,200
8969,200,7135,200,15037,40
12661,200,1565,200,17069,200
224,126,17188,200,1565,200
9545,200,7422,200,4504,200
7793,200,17753,179,16506,200
9523,134,17734,109,12126,200
8557,91,13124,200,13987,200
2837,200,16836,70,4522,200
11766,81,637,200,17190,138
4664,200,2304,200,15696,115
7471,200,13232,200,1975,200
8156,200,1889,78,5176,157
9940,200,10115,52,5719,200
3827,200,10124,83,8426,172
18758,200,603,200,19433,46
4329,200,1092,102,16437,200
2846,118,7757,30,18657,175
7357,181,11691,197,10876,200
10124,83,10999,200,12461,200
245,44,12940,200,14394,171
10171,200,5604,187,12463,200
14508,115,9831,129,12385,148
7422,200,17512,118,18768,139
17880,200,13838,186,16836,70
19178,41,18586,200,17134,104
10520,200,205,200,5148,86
5201,86,5599,200,12451,200
10968,200,207,199,19319,187
7412,200,1901,79,17914,200
17512,118,152,200,3400,197
3247,165,5603,200,8910,200
2826,200,13900,7,19305,52
796,68,11557,200,6660,200
9766,200,8832,177,10968,200
16534,66,19305,52,11776,200
312,200,17724,200,8929,200
8884,59,12103,200,1738,85
3755,124,7899,99,5599,200
4522,200,4913,200,9678,200
17406,110,4922,200,8818,122
